true_label,recoil_energy_keV,s1_photons,s2_charge,s2_photons,pos_x_cm,pos_y_cm,pos_z_cm,pulse_shape_f90,event_id,timestamp,log10_s2_s1,log10_s2ph_s1,classification,confidence,reasoning
Electronic Recoil,14.77578472774628,20.04383770047331,2972.4353260921825,446.1529528224871,-25.393361628310505,-3.3225894744835416,-23.737132909043456,0.8381213208577329,0,2025-01-01 00:00:18.604386,2.171131515039567,1.3475028734728232,Sample_Category,0.7428560252181864,"**Moderate S1 signal** (20.0 photons).

**Low S2/S1 ratio** (log₁₀=1.35): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,46.14382325198863,69.33928710592225,9210.327949085862,1386.228259864958,-36.30293604757936,-27.125426007708324,-23.047552595366184,0.60717228710039,1,2025-01-01 00:07:50.486039,2.123295715779133,1.3008553699900405,Sample_Category,0.6674159198570147,"**High S1 signal** (69.3 photons).

**Low S2/S1 ratio** (log₁₀=1.30): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,18.89411285606473,30.82069942575242,3785.561808533928,568.373113960554,-10.643086259717435,-29.568291064572023,37.82514055039292,0.7463235536236155,2,2025-01-01 00:11:06.727331,2.089287837416395,1.265791022661322,Sample_Category,0.7524437541621862,"**Moderate S1 signal** (30.8 photons).

**Low S2/S1 ratio** (log₁₀=1.27): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,10.22600211475633,16.25978106627609,2023.518180905584,303.0835284190469,-40.80635643566557,-4.440693897617742,10.747730216591712,0.7241199367340715,3,2025-01-01 00:11:46.753254,2.0949923906637897,1.270447615637451,Sample_Category,0.714919954489045,"**Moderate S1 signal** (16.3 photons).

**Low S2/S1 ratio** (log₁₀=1.27): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Axion,8.04210390469061,13.530821306269686,473.6533121816221,68.76939789957781,35.99546956255188,-15.797164729194057,3.358996073501828,0.3363975129236313,4,2025-01-01 00:15:03.649213,1.5441363888190156,0.7060710375706207,Sample_Category,0.6789507588141296,"**Moderate S1 signal** (13.5 photons).

**Low S2/S1 ratio** (log₁₀=0.71): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Axion"
Electronic Recoil,29.72269918472564,44.38110196567652,5891.92072633717,880.9059668753882,-8.319464880286356,43.956262951165066,12.796933636965278,0.6413850782841506,5,2025-01-01 00:16:12.749654,2.123058803828168,1.2977314610316266,Sample_Category,0.6114946937446938,"**Moderate S1 signal** (44.4 photons).

**Low S2/S1 ratio** (log₁₀=1.30): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,13.266575888950484,18.911830045275178,2680.0622576654223,409.0146894164517,32.48800639931454,-0.0557064544708097,40.6199723844304,0.8361430852168336,6,2025-01-01 00:17:19.739896,2.15141130362587,1.3350053273543847,Sample_Category,0.6344531018965502,"**Moderate S1 signal** (18.9 photons).

**Low S2/S1 ratio** (log₁₀=1.34): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,15.665779641385347,21.71075850480841,3141.111025810288,467.36348534524393,-8.688248439067776,-41.31965339265944,16.65206992518668,0.8240615852627121,7,2025-01-01 00:18:02.888783,2.160408270804448,1.3329797627150202,Sample_Category,0.6188854799734188,"**Moderate S1 signal** (21.7 photons).

**Low S2/S1 ratio** (log₁₀=1.33): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,26.27323799539954,42.90862473655813,5223.790836166399,774.7352365293224,-14.967048911963618,-0.0352436333139452,38.41125816216193,0.5695727136858348,8,2025-01-01 00:18:18.033036,2.0854411739634786,1.2566087042563876,Sample_Category,0.7409948853524166,"**Moderate S1 signal** (42.9 photons).

**Low S2/S1 ratio** (log₁₀=1.26): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
Electronic Recoil,17.3819901368394,25.100155983222816,3492.3666597025285,524.5547411567932,22.973391451383424,-23.90346376299989,10.885621410885918,0.6278941924900113,9,2025-01-01 00:18:41.472988,2.1434433959620254,1.320114379869821,Sample_Category,0.5675755983661646,"**Moderate S1 signal** (25.1 photons).

**Low S2/S1 ratio** (log₁₀=1.32): Nuclear recoil likely.

**Classification: Electronic Recoil**

⚠ Ground truth: Electronic Recoil"
